0, -0.087227
1, -0.084952
2, -0.082719
3, -0.080526
4, -0.078374
5, -0.076261
6, -0.074186
7, -0.072149
8, -0.070149
9, -0.068184
10, -0.066254
11, -0.064358
12, -0.062496
13, -0.060666
14, -0.058869
15, -0.057103
16, -0.055367
17, -0.053662
18, -0.051986
19, -0.050339
20, -0.048719
21, -0.047128
22, -0.045563
23, -0.044025
24, -0.042513
25, -0.041026
26, -0.039565
27, -0.038127
28, -0.036714
29, -0.035324
30, -0.033957
31, -0.032612
32, -0.031290
33, -0.029989
34, -0.028710
35, -0.027451
36, -0.026213
37, -0.024995
38, -0.023797
39, -0.022618
40, -0.021458
41, -0.020316
42, -0.019193
43, -0.018088
44, -0.017001
45, -0.015930
46, -0.014877
47, -0.013841
48, -0.012820
49, -0.011816
50, -0.010828
51, -0.009855
52, -0.008898
53, -0.007955
54, -0.007028
55, -0.006115
56, -0.005215
57, -0.004330
58, -0.003459
59, -0.002601
60, -0.001757
61, -0.000926
62, -0.000107
63, 0.000699
64, 0.001493
65, 0.002274
66, 0.003043
67, 0.003801
68, 0.004547
69, 0.005281
70, 0.006004
71, 0.006717
72, 0.007418
73, 0.008109
74, 0.008789
75, 0.009458
76, 0.010118
77, 0.010767
78, 0.011407
79, 0.012037
80, 0.012657
81, 0.013268
82, 0.013870
83, 0.014462
84, 0.015046
85, 0.015621
86, 0.016187
87, 0.016744
88, 0.017293
89, 0.017834
90, 0.018366
91, 0.018891
92, 0.019407
93, 0.019916
94, 0.020417
95, 0.020911
96, 0.021397
97, 0.021875
98, 0.022347
99, 0.022811
